"Gene","Model1","ModelCode"
"39964_envZ","TN93+G+I","TN93_G"
"39996_hypothetical_protein","K2+G","K2_G"
"39999_fkpA","TN93+G","TN93_G"
"40040_gshA","T92+G+I","T92_G"
"40050_ybjN","K2+G","K2_G"
"40052_artM_3","T92+G+I","T92_G"
"40099_bcr_4","TN93+G+I","TN93_G"
"40110_hypothetical_protein","T92+G+I","T92_G"
"40129_baeS","T92+G+I","T92_G"
"40159_hisH","T92+G+I","T92_G"
"40160_hisB","TN93+G+I","TN93_G"
"40162_hisD","T92+G+I","T92_G"
"40163_hisG","TN93+G+I","TN93_G"
"40164_yeeZ","T92+G+I","T92_G"
"40242_rcsA","K2+G","K2_G"
"40252_phoH","T92+G+I","T92_G"
"40274_znuB","TN93+G","TN93_G"
"40288_hypothetical_protein","TN93+G+I","TN93_G"
"40292_prc","TN93+G+I","TN93_G"
"40329_sppA_2","TN93+G+I","TN93_G"
"40384_solA","T92+G","T92_G"
