"Gene","cal_ID","gav_ID","Mean_gene_length","cal_rel","gav_rel","Same_rel_patt","Product"
"38497_truB",555,550,945,"PS_PA_ET_EA_EC_CF_TP_TS","PA_PS_ET_EA_EC_CF_TP_TS",FALSE,"tRNA pseudouridine(55) synthase"
"38512_pyrI",579,571,463.8,"PS_PA_ET_EA_EC_CF_TS_TP","PS_PA_EA_ET_EC_CF_TS_TP",FALSE,"Aspartate carbamoyltransferase regulatory subunit"
"38578_rplP",432,421,411,"PS_PA_EA_ET_EC_CF_TS_TP","PS_PA_EA_ET_EC_CF_TS_TP",TRUE,"50S ribosomal protein"
"38626_pepQ",3849,3961,1331.7,"PS_PA_ET_EA_EC_CF_TP_TS","PS_PA_ET_EA_CF_EC_TS_TP",FALSE,"Xaa-Pro dipeptidase"
"38657_xerC",3883,3996,904.8,"PS_PA_EA_ET_EC_CF_TS_TP","PS_PA_EA_ET_EC_CF_TS_TP",TRUE,"Tyrosine recombinase"
"38658_hypothetical_protein",3884,3997,702.6,"PS_PA_EA_ET_EC_CF_TP_TS","PS_PA_EA_ET_EC_CF_TP_TS",TRUE,"DUF484 domain-containing protein"
"38662_cyaA",3890,4003,2551.5,"PS_PA_ET_EA_EC_CF_TP_TS","PS_PA_EA_ET_EC_CF_TP_TS",FALSE,"Class I adenylate cyclase"
"38667_wecG",3899,4012,741,"PS_PA_EA_ET_EC_CF_TP_TS","PS_PA_EA_ET_CF_EC_TP_TS",FALSE,"Lipopolysaccharide N-acetylmannosaminouronosyltransferase"
"38669_wecF",3901,4014,1076.4,"PA_PS_ET_EA_EC_CF_TS_TP","PA_PS_ET_EA_EC_CF_TS_TP",TRUE,"TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase"
"38670_wzxE",3902,4015,1246.2,"PS_PA_EA_ET_EC_CF_TP_TS","PS_PA_EA_ET_EC_CF_TP_TS",TRUE,"Lipid III flippase"
"38680_rep",3915,4028,2023.5,"PS_PA_ET_EA_EC_CF_TS_TP","PS_PA_ET_EA_EC_CF_TP_TS",FALSE,"DNA helicase"
"38682_yhjJ",207,184,1483.5,"PS_PA_ET_EA_EC_CF_TP_TS","PS_PA_ET_EA_EC_CF_TP_TS",TRUE,"Insulinase family protein"
"38686_hypothetical_protein",184,152,715.2,"PS_PA_EA_ET_EC_CF_TP_TS","PS_PA_EA_ET_EC_CF_TP_TS",TRUE,"DUF3053 domain-containing protein"
"38787_uup",1519,1533,1916.4,"PS_PA_ET_EA_EC_CF_TP_TS","PS_PA_ET_EA_EC_CF_TP_TS",TRUE,"ABC transporter ATP-binding protein"
"38789_ycbX",1517,1531,1111.5,"PS_PA_ET_EA_CF_EC_TP_TS","PS_PA_ET_EA_CF_EC_TP_TS",TRUE,"MOSC domain-containing protein"
"38792_pepN",1508,1522,2619.3,"PS_PA_ET_EA_EC_CF_TP_TS","PS_PA_ET_EA_EC_CF_TS_TP",FALSE,"Aminopeptidase"
"38793_pncB",1507,1521,1205.4,"PS_PA_ET_EA_EC_CF_TP_TS","PS_PA_EA_ET_EC_CF_TP_TS",FALSE,"Nicotinate phosphoribosyltransferase"
"38799_hypothetical_protein",1501,1515,1815.6,"PS_PA_EA_ET_CF_EC_TP_TS","PS_PA_EA_ET_CF_EC_TP_TS",TRUE,"L,D-transpeptidase"
"38802_mukF",1498,1512,1323,"PS_PA_ET_EA_EC_CF_TS_TP","PS_PA_EA_ET_EC_CF_TP_TS",FALSE,"Chromosome partition protein"
"38844_hypothetical_protein",1000,1016,1245.9,"PS_PA_EA_ET_EC_CF_TP_TS","PS_PA_ET_EA_CF_EC_TP_TS",FALSE,"Esterase"
"38879_proX",3230,3253,996.9,"PS_PA_EA_ET_EC_CF_TP_TS","PS_PA_ET_EA_EC_CF_TS_TP",FALSE,"Glycine betaine/L-proline ABC transporter substrate-binding protein"
"38881_emrA_2",3233,3256,1171.2,"PS_PA_ET_EA_EC_CF_TP_TS","PS_PA_ET_EA_EC_CF_TP_TS",TRUE,"Multidrug efflux MFS transporter periplasmic adaptor subunit"
"38886_pat",3238,3261,2659.5,"PS_PA_EA_ET_EC_CF_TP_TS","PS_PA_EA_ET_EC_CF_TP_TS",TRUE,"Bifunctional acetate--CoA ligase family protein/GNAT family N-acetyltransferase"
"38936_ydgA",2024,1998,1502.4,"PS_PA_ET_EA_EC_CF_TP_TS","PS_PA_ET_EA_EC_CF_TP_TS",TRUE,"YdgA family protein"
"38937_tus",2027,2001,931.2,"PS_PA_ET_EA_EC_CF_TP_TS","PS_PA_EA_ET_EC_CF_TP_TS",FALSE,"DNA replication terminus site-binding protein"
"38956_hypothetical_protein",4021,4133,618.6,"PS_PA_ET_EA_CF_EC_TS_TP","PS_PA_ET_EA_CF_EC_TS_TP",TRUE,"Trimeric intracellular cation channel family protein"
"39028_gsiD_1",1428,1444,906.3,"PS_PA_EA_ET_CF_EC_TP_TS","PS_PA_ET_EA_EC_CF_TP_TS",FALSE,"Glutathione ABC transporter permease"
"39029_gsiC_1",1427,1443,925.2,"PS_PA_ET_EA_EC_CF_TP_TS","PS_PA_ET_EA_EC_CF_TS_TP",FALSE,"Glutathione ABC transporter permease"
"39107_hypothetical_protein",1349,1372,1107,"PS_PA_ET_EA_EC_CF_TP_TS","PS_PA_ET_EA_EC_CF_TP_TS",TRUE,"DUF1615 domain-containing protein"
"39117_ybhA",1327,1351,819,"PS_PA_ET_EA_EC_CF_TS_TP","PS_PA_EA_ET_EC_CF_TS_TP",FALSE,"Pyridoxal phosphatase"
"39126_zitB",1312,1336,953.1,"PS_PA_ET_EA_EC_CF_TP_TS","PS_PA_ET_EA_EC_CF_TP_TS",TRUE,"CDF family zinc transporter"
"39133_pal",1301,1325,523.8,"PS_PA_EA_ET_EC_CF_TS_TP","PS_PA_EA_ET_EC_CF_TS_TP",TRUE,"Peptidoglycan-associated lipoprotein"
"39134_tolB",1300,1324,1294.8,"PA_PS_ET_EA_EC_CF_TS_TP","PS_PA_ET_EA_CF_EC_TP_TS",FALSE,"Tol-Pal system protein"
"39180_lnt",1242,1269,1537.5,"PS_PA_ET_EA_EC_CF_TP_TS","PS_PA_ET_EA_EC_CF_TS_TP",FALSE,"Apolipoprotein N-acyltransferase"
"39193_rlpA",1228,1255,1112.4,"PA_PS_EA_ET_EC_CF_TP_TS","PS_PA_EA_ET_EC_CF_TP_TS",FALSE,"Endolytic peptidoglycan transglycosylase"
"39309_alx",3592,3609,978.3,"PS_PA_ET_EA_EC_CF_TP_TS","PS_PA_ET_EA_EC_CF_TS_TP",FALSE,"TerC family protein"
"39311_rlmG",3588,3604,1126.8,"PS_PA_ET_EA_EC_CF_TP_TS","PS_PA_ET_EA_CF_EC_TP_TS",FALSE,"23S rRNA (guanine(1835)-N(2))-methyltransferase"
"39364_nadR",761,772,1240.5,"PS_PA_EA_ET_EC_CF_TP_TS","PS_PA_EA_ET_EC_CF_TP_TS",TRUE,"Multifunctional transcriptional regulator/nicotinamide-nucleotide adenylyltransferase/ribosylnicotinamide kinase"
"39375_thrA",775,786,2463,"PS_PA_ET_EA_EC_CF_TS_TP","PS_PA_ET_EA_EC_CF_TS_TP",TRUE,"Bifunctional aspartate kinase/homoserine dehydrogenase"
"39390_ispH",793,804,953.4,"PS_PA_EA_ET_EC_CF_TP_TS","PS_PA_ET_EA_EC_CF_TS_TP",FALSE,"4-hydroxy-3-methylbut-2-enyl diphosphate reductase"
"39394_folA",799,811,481.8,"PS_PA_ET_EA_EC_CF_TS_TP","PA_PS_EA_ET_EC_CF_TS_TP",FALSE,"Type 3 dihydrofolate reductase"
"39448_pdhR",859,873,765,"PS_PA_EA_ET_CF_EC_TP_TS","PS_PA_EA_ET_EC_CF_TP_TS",FALSE,"Pyruvate dehydrogenase complex transcriptional repressor"
"39458_cueO",881,890,1608.6,"PS_PA_EA_ET_EC_CF_TS_TP","PS_PA_EA_ET_EC_CF_TP_TS",FALSE,"Multicopper oxidase"
"39461_yadH",887,895,771,"PS_PA_EA_ET_EC_CF_TP_TS","PS_PA_EA_ET_EC_CF_TP_TS",TRUE,"ABC transporter permease"
"39464_hypothetical_protein",1929,1898,879.6,"PS_PA_ET_EA_EC_CF_TS_TP","PS_PA_ET_EA_EC_CF_TS_TP",TRUE,"Fructosamine kinase family protein"
"39523_purF",2913,2885,1518,"PS_PA_ET_EA_EC_CF_TS_TP","PS_PA_ET_EA_EC_CF_TP_TS",FALSE,"Amidophosphoribosyltransferase"
"39526_hisQ",2906,2879,685.5,"PS_PA_EA_ET_EC_CF_TP_TS","PS_PA_ET_EA_EC_CF_TP_TS",FALSE,"ABC transporter permease subunit"
"39541_nuoG",2879,2851,2728.2,"PS_PA_EA_ET_CF_EC_TP_TS","PS_PA_EA_ET_CF_EC_TP_TS",TRUE,"NADH-quinone oxidoreductase subunit"
"39547_nuoM",2873,2845,1536.3,"PS_PA_ET_EA_EC_CF_TP_TS","PS_PA_ET_EA_EC_CF_TP_TS",TRUE,"NADH-quinone oxidoreductase subunit"
"39548_nuoN",2872,2844,1458,"PS_PA_EA_ET_EC_CF_TS_TP","PS_PA_ET_EA_EC_CF_TP_TS",FALSE,"NADH-quinone oxidoreductase subunit"
"39550_blc",3681,3697,532.8,"PS_PA_EA_ET_EC_CF_TP_TS","PS_PA_EA_ET_EC_CF_TP_TS",TRUE,"Lipocalin family protein"
"39554_hypothetical_protein",2859,2832,1200.6,"PS_PA_ET_EA_EC_CF_TP_TS","PS_PA_ET_EA_EC_CF_TP_TS",TRUE,"Nicotinamide mononucleotide deamidase-related protein"
"39565_phoR",1092,1113,1314.3,"PS_PA_ET_EA_EC_CF_TP_TS","PS_PA_ET_EA_EC_CF_TP_TS",TRUE,"Phosphate regulon sensor histidine kinase"
"39566_phoB",1091,1112,690,"PS_PA_EA_ET_EC_CF_TP_TS","PS_PA_ET_EA_EC_CF_TP_TS",FALSE,"Phosphate response regulator transcription factor"
"39682_hypothetical_protein",2152,2146,2616.9,"PS_PA_ET_EA_EC_CF_TP_TS","PS_PA_ET_EA_EC_CF_TP_TS",TRUE,"YdbH family protein"
"39689_hypothetical_protein",2170,2188,1067.7,"PS_PA_EA_ET_EC_CF_TP_TS","PS_PA_ET_EA_EC_CF_TP_TS",FALSE,"TIGR01620 family protein"
"39711_lapB",2207,2226,1170,"PS_PA_EA_ET_CF_EC_TS_TP","PS_PA_EA_ET_CF_EC_TS_TP",TRUE,"Lipopolysaccharide assembly protein"
"39745_oppD",2242,2262,1010.1,"PS_PA_EA_ET_EC_CF_TP_TS","PS_PA_ET_EA_EC_CF_TS_TP",FALSE,"ABC transporter ATP-binding protein"
"39768_secD",1103,1123,1815,"PS_PA_ET_EA_EC_CF_TP_TS","PS_PA_ET_EA_EC_CF_TP_TS",TRUE,"Protein translocase subunit"
"39773_ribD",1107,1127,1104,"PS_PA_ET_EA_EC_CF_TS_TP","PS_PA_ET_EA_EC_CF_TS_TP",TRUE,"Bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase"
"39779_ispA",1115,1133,900,"PS_PA_EA_ET_EC_CF_TP_TS","PS_PA_EA_ET_EC_CF_TP_TS",TRUE,"(2E,6E)-farnesyl diphosphate synthase"
"39816_mutM",4004,4116,810,"PS_PA_EA_ET_EC_CF_TP_TS","PS_PA_ET_EA_EC_CF_TP_TS",FALSE,"Bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase"
"39873_trmA",3934,4047,1103.4,"PA_PS_EA_ET_EC_CF_TP_TS","PS_PA_EA_ET_EC_CF_TP_TS",FALSE,"tRNA (uridine(54)-C5)-methyltransferase"
"39920_kdgR",84,59,1026.3,"PS_PA_EA_ET_EC_CF_TS_TP","PS_PA_EA_ET_CF_EC_TS_TP",FALSE,"LacI family DNA-binding transcriptional regulator"
"39929_hypothetical_protein",307,295,556.5,"PS_PA_ET_EA_CF_EC_TS_TP","PS_PA_ET_EA_CF_EC_TS_TP",TRUE,"DcrB family lipoprotein"
"39930_yhhQ",308,296,667.2,"PA_PS_EA_ET_CF_EC_TS_TP","PS_PA_ET_EA_CF_EC_TS_TP",FALSE,"7-cyano-7-deazaguanine/7-aminomethyl-7-deazaguanine transporter"
"39937_ftsE",315,303,665.7,"PS_PA_ET_EA_CF_EC_TP_TS","PS_PA_EA_ET_CF_EC_TS_TP",FALSE,"Cell division ATP-binding protein"
"39942_lacG",326,314,846,"PS_PA_EA_ET_EC_CF_TS_TP","PS_PA_EA_ET_EC_CF_TS_TP",TRUE,"sn-glycerol-3-phosphate ABC transporter permease"
"39943_ugpC_1",327,315,1073.1,"PA_PS_ET_EA_EC_CF_TP_TS","PS_PA_ET_EA_EC_CF_TP_TS",FALSE,"sn-glycerol-3-phosphate import ATP-binding protein"
"39944_ugpQ",328,316,742.8,"PS_PA_ET_EA_EC_CF_TP_TS","PS_PA_ET_EA_EC_CF_TP_TS",TRUE,"Glycerophosphodiester phosphodiesterase"
"39946_yhhW_1",332,320,696,"PS_PA_EA_ET_EC_CF_TP_TS","PA_PS_ET_EA_EC_CF_TS_TP",FALSE,"Pirin family protein"
"39952_glpD",343,331,1520.1,"PS_PA_ET_EA_EC_CF_TS_TP","PS_PA_ET_EA_EC_CF_TP_TS",FALSE,"Glycerol-3-phosphate dehydrogenase"
"39955_glpR",346,334,763.8,"PS_PA_EA_ET_EC_CF_TP_TS","PS_PA_EA_ET_EC_CF_TP_TS",TRUE,"DeoR/GlpR family transcriptional regulator"
"39964_envZ",362,349,1357.5,"PS_PA_ET_EA_EC_CF_TP_TS","PS_PA_ET_EA_EC_CF_TP_TS",TRUE,"Two-component system sensor histidine kinase"
"39996_hypothetical_protein",409,398,196.2,"PS_PA_ET_EA_CF_EC_TP_TS","PS_PA_ET_EA_EC_CF_TP_TS",FALSE,"YheV family putative metal-binding protein"
"39999_fkpA",412,401,826.2,"PS_PA_ET_EA_CF_EC_TP_TS","PS_PA_ET_EA_EC_CF_TP_TS",FALSE,"FKBP-type peptidyl-prolyl cis-trans isomerase"
"40040_gshA",3265,3286,1577.1,"PA_PS_ET_EA_EC_CF_TP_TS","PS_PA_ET_EA_EC_CF_TP_TS",FALSE,"Glutamate--cysteine ligase"
"40050_ybjN",1446,1459,478.5,"PS_PA_ET_EA_CF_EC_TP_TS","PS_PA_ET_EA_CF_EC_TS_TP",FALSE,"YbjN domain-containing protein"
"40052_artM_3",1454,1467,669.6,"PA_PS_EA_ET_EC_CF_TP_TS","PA_PS_ET_EA_EC_CF_TP_TS",FALSE,"Arginine ABC transporter permease"
"40099_bcr_4",2815,2776,1196.1,"PS_PA_ET_EA_EC_CF_TP_TS","PS_PA_ET_EA_EC_CF_TP_TS",TRUE,"Bcr/CflA family multidrug efflux MFS transporter"
"40110_hypothetical_protein",2797,2758,1058.7,"PS_PA_EA_ET_EC_CF_TP_TS","PS_PA_ET_EA_EC_CF_TP_TS",FALSE,"YeiH family putative sulfate export transporter"
"40129_baeS",2744,2710,1392,"PS_PA_ET_EA_EC_CF_TP_TS","PS_PA_ET_EA_EC_CF_TP_TS",TRUE,"Two-component system sensor histidine kinase"
"40159_hisH",2701,2646,591,"PS_PA_ET_EA_CF_EC_TS_TP","PS_PA_EA_ET_EC_CF_TS_TP",FALSE,"Imidazole glycerol phosphate synthase subunit"
"40160_hisB",2700,2645,1068,"PS_PA_EA_ET_EC_CF_TP_TS","PS_PA_EA_ET_EC_CF_TP_TS",TRUE,"Bifunctional histidinol-phosphatase/imidazoleglycerol-phosphate dehydratase"
"40162_hisD",2698,2643,1306.8,"PS_PA_ET_EA_CF_EC_TP_TS","PS_PA_ET_EA_EC_CF_TS_TP",FALSE,"Histidinol dehydrogenase"
"40163_hisG",2697,2642,900,"PS_PA_ET_EA_CF_EC_TP_TS","PS_PA_EA_ET_CF_EC_TP_TS",FALSE,"ATP phosphoribosyltransferase"
"40164_yeeZ",2696,2641,828,"PS_PA_EA_ET_EC_CF_TP_TS","PS_PA_ET_EA_CF_EC_TP_TS",FALSE,"SDR family oxidoreductase"
"40242_rcsA",2612,2561,632.1,"PS_PA_EA_ET_EC_CF_TP_TS","PA_PS_ET_EA_EC_CF_TP_TS",FALSE,"Transcriptional regulator"
"40252_phoH",2528,2480,789.3,"PS_PA_EA_ET_CF_EC_TP_TS","PS_PA_EA_ET_EC_CF_TP_TS",FALSE,"Phosphate starvation-inducible protein"
"40274_znuB",2475,2413,786,"PS_PA_ET_EA_EC_CF_TP_TS","PS_PA_ET_EA_EC_CF_TP_TS",TRUE,"Zinc ABC transporter permease subunit"
"40288_hypothetical_protein",2389,2362,2610.6,"PS_PA_EA_ET_EC_CF_TP_TS","PS_PA_EA_ET_EC_CF_TP_TS",TRUE,"PqiB family protein"
"40292_prc",2385,2358,2038.8,"PS_PA_ET_EA_CF_EC_TP_TS","PS_PA_EA_ET_CF_EC_TP_TS",FALSE,"Carboxy terminal-processing peptidase"
"40329_sppA_2",2265,2285,1859.7,"PS_PA_ET_EA_CF_EC_TP_TS","PS_PA_ET_EA_EC_CF_TP_TS",FALSE,"Signal peptide peptidase"
"40384_solA",1609,1605,1116.9,"PA_PS_ET_EA_EC_CF_TP_TS","PA_PS_ET_EA_EC_CF_TP_TS",TRUE,"N-methyl-L-tryptophan oxidase"
